天気コード,天気名称,取得URL,HTTPステータス,SVG判定,ファイルサイズ,取得日時,結果,備考
100,晴,https://www.jma.go.jp/bosai/forecast/img/100.svg,200,OK,9900,2026-09-10 03:50:18,成功,
101,晴時々曇,https://www.jma.go.jp/bosai/forecast/img/101.svg,200,OK,11710,2026-09-10 03:50:18,成功,
102,晴一時雨,https://www.jma.go.jp/bosai/forecast/img/102.svg,200,OK,15636,2026-09-10 03:50:18,成功,
103,晴時々雨,https://www.jma.go.jp/bosai/forecast/img/103.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
104,晴一時雪,https://www.jma.go.jp/bosai/forecast/img/104.svg,200,OK,16563,2026-09-10 03:50:18,成功,
105,晴時々雪,https://www.jma.go.jp/bosai/forecast/img/105.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
106,晴一時雨か雪,https://www.jma.go.jp/bosai/forecast/img/106.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
107,晴時々雨か雪,https://www.jma.go.jp/bosai/forecast/img/107.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
108,晴一時雨か雷雨,https://www.jma.go.jp/bosai/forecast/img/108.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
110,晴後時々曇,https://www.jma.go.jp/bosai/forecast/img/110.svg,200,OK,12380,2026-09-10 03:50:18,成功,
111,晴後曇,https://www.jma.go.jp/bosai/forecast/img/111.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
112,晴後一時雨,https://www.jma.go.jp/bosai/forecast/img/112.svg,200,OK,16318,2026-09-10 03:50:18,成功,
113,晴後時々雨,https://www.jma.go.jp/bosai/forecast/img/113.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
114,晴後雨,https://www.jma.go.jp/bosai/forecast/img/114.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
115,晴後一時雪,https://www.jma.go.jp/bosai/forecast/img/115.svg,200,OK,15118,2026-09-10 03:50:18,成功,
116,晴後時々雪,https://www.jma.go.jp/bosai/forecast/img/116.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
117,晴後雪,https://www.jma.go.jp/bosai/forecast/img/117.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
118,晴後雨か雪,https://www.jma.go.jp/bosai/forecast/img/118.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
119,晴後雨か雷雨,https://www.jma.go.jp/bosai/forecast/img/119.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
120,晴朝夕一時雨,https://www.jma.go.jp/bosai/forecast/img/120.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
121,晴朝の内一時雨,https://www.jma.go.jp/bosai/forecast/img/121.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
122,晴夕方一時雨,https://www.jma.go.jp/bosai/forecast/img/122.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
123,晴山沿い雷雨,https://www.jma.go.jp/bosai/forecast/img/123.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
124,晴山沿い雪,https://www.jma.go.jp/bosai/forecast/img/124.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
125,晴午後は雷雨,https://www.jma.go.jp/bosai/forecast/img/125.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
126,晴昼頃から雨,https://www.jma.go.jp/bosai/forecast/img/126.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
127,晴夕方から雨,https://www.jma.go.jp/bosai/forecast/img/127.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
128,晴夜は雨,https://www.jma.go.jp/bosai/forecast/img/128.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
130,朝の内霧後晴,https://www.jma.go.jp/bosai/forecast/img/130.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
131,晴明け方霧,https://www.jma.go.jp/bosai/forecast/img/131.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
132,晴朝夕曇,https://www.jma.go.jp/bosai/forecast/img/132.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
140,晴時々雨で雷を伴う,https://www.jma.go.jp/bosai/forecast/img/140.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
160,晴一時雪か雨,https://www.jma.go.jp/bosai/forecast/img/160.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
170,晴時々雪か雨,https://www.jma.go.jp/bosai/forecast/img/170.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
181,晴後雪か雨,https://www.jma.go.jp/bosai/forecast/img/181.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
200,曇,https://www.jma.go.jp/bosai/forecast/img/200.svg,200,OK,1934,2026-09-10 03:50:18,成功,
201,曇時々晴,https://www.jma.go.jp/bosai/forecast/img/201.svg,200,OK,12030,2026-09-10 03:50:18,成功,
202,曇一時雨,https://www.jma.go.jp/bosai/forecast/img/202.svg,200,OK,7627,2026-09-10 03:50:18,成功,
203,曇時々雨,https://www.jma.go.jp/bosai/forecast/img/203.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
204,曇一時雪,https://www.jma.go.jp/bosai/forecast/img/204.svg,200,OK,8551,2026-09-10 03:50:18,成功,
205,曇時々雪,https://www.jma.go.jp/bosai/forecast/img/205.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
206,曇一時雨か雪,https://www.jma.go.jp/bosai/forecast/img/206.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
207,曇時々雨か雪,https://www.jma.go.jp/bosai/forecast/img/207.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
208,曇一時雨か雷雨,https://www.jma.go.jp/bosai/forecast/img/208.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
209,霧,https://www.jma.go.jp/bosai/forecast/img/209.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
210,曇後時々晴,https://www.jma.go.jp/bosai/forecast/img/210.svg,200,OK,12364,2026-09-10 03:50:18,成功,
211,曇後晴,https://www.jma.go.jp/bosai/forecast/img/211.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
212,曇後一時雨,https://www.jma.go.jp/bosai/forecast/img/212.svg,200,OK,8016,2026-09-10 03:50:18,成功,
213,曇後時々雨,https://www.jma.go.jp/bosai/forecast/img/213.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
214,曇後雨,https://www.jma.go.jp/bosai/forecast/img/214.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
215,曇後一時雪,https://www.jma.go.jp/bosai/forecast/img/215.svg,200,OK,6785,2026-09-10 03:50:18,成功,
216,曇後時々雪,https://www.jma.go.jp/bosai/forecast/img/216.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
