天気コード,天気名称,SVGパス,取得結果
100,晴,./icons/100.svg,成功
101,晴時々曇,./icons/101.svg,成功
102,晴一時雨,./icons/102.svg,成功
103,晴時々雨,,失敗
104,晴一時雪,./icons/104.svg,成功
105,晴時々雪,,失敗
106,晴一時雨か雪,,失敗
107,晴時々雨か雪,,失敗
108,晴一時雨か雷雨,,失敗
110,晴後時々曇,./icons/110.svg,成功
111,晴後曇,,失敗
112,晴後一時雨,./icons/112.svg,成功
113,晴後時々雨,,失敗
114,晴後雨,,失敗
115,晴後一時雪,./icons/115.svg,成功
116,晴後時々雪,,失敗
117,晴後雪,,失敗
118,晴後雨か雪,,失敗
119,晴後雨か雷雨,,失敗
120,晴朝夕一時雨,,失敗
121,晴朝の内一時雨,,失敗
122,晴夕方一時雨,,失敗
123,晴山沿い雷雨,,失敗
124,晴山沿い雪,,失敗
125,晴午後は雷雨,,失敗
126,晴昼頃から雨,,失敗
127,晴夕方から雨,,失敗
128,晴夜は雨,,失敗
130,朝の内霧後晴,,失敗
131,晴明け方霧,,失敗
132,晴朝夕曇,,失敗
140,晴時々雨で雷を伴う,,失敗
160,晴一時雪か雨,,失敗
170,晴時々雪か雨,,失敗
181,晴後雪か雨,,失敗
200,曇,./icons/200.svg,成功
201,曇時々晴,./icons/201.svg,成功
202,曇一時雨,./icons/202.svg,成功
203,曇時々雨,,失敗
204,曇一時雪,./icons/204.svg,成功
205,曇時々雪,,失敗
206,曇一時雨か雪,,失敗
207,曇時々雨か雪,,失敗
208,曇一時雨か雷雨,,失敗
209,霧,,失敗
210,曇後時々晴,./icons/210.svg,成功
211,曇後晴,,失敗
212,曇後一時雨,./icons/212.svg,成功
213,曇後時々雨,,失敗
214,曇後雨,,失敗
215,曇後一時雪,./icons/215.svg,成功
216,曇後時々雪,,失敗
217,曇後雪,,失敗
218,曇後雨か雪,,失敗
219,曇後雨か雷雨,,失敗
220,曇朝夕一時雨,,失敗
221,曇朝の内一時雨,,失敗
222,曇夕方一時雨,,失敗
223,曇日中時々晴,,失敗
224,曇昼頃から雨,,失敗
225,曇夕方から雨,,失敗
226,曇夜は雨,,失敗
228,曇昼頃から雪,,失敗
229,曇夕方から雪,,失敗
230,曇夜は雪,,失敗
231,曇海上海岸は霧か霧雨,,失敗
240,曇時々雨で雷を伴う,,失敗
250,曇時々雪で雷を伴う,,失敗
260,曇一時雪か雨,,失敗
270,曇時々雪か雨,,失敗
281,曇後雪か雨,,失敗
300,雨,./icons/300.svg,成功
301,雨時々晴,./icons/301.svg,成功
302,雨時々止む,./icons/302.svg,成功
303,雨時々雪,./icons/303.svg,成功
304,雨か雪,,失敗
306,大雨,,失敗
308,雨で暴風を伴う,./icons/308.svg,成功
309,雨一時雪,,失敗
311,雨後晴,./icons/311.svg,成功
313,雨後曇,./icons/313.svg,成功
314,雨後時々雪,./icons/314.svg,成功
315,雨後雪,,失敗
316,雨か雪後晴,,失敗
317,雨か雪後曇,,失敗
320,朝の内雨後晴,,失敗
321,朝の内雨後曇,,失敗
322,雨朝晩一時雪,,失敗
323,雨昼頃から晴,,失敗
324,雨夕方から晴,,失敗
325,雨夜は晴,,失敗
326,雨夕方から雪,,失敗
327,雨夜は雪,,失敗
328,雨一時強く降る,,失敗
329,雨一時みぞれ,,失敗
340,雪か雨,,失敗
350,雨で雷を伴う,,失敗
361,雪か雨後晴,,失敗
371,雪か雨後曇,,失敗
400,雪,./icons/400.svg,成功
401,雪時々晴,./icons/401.svg,成功
402,雪時々止む,./icons/402.svg,成功
403,雪時々雨,./icons/403.svg,成功
405,大雪,,失敗
406,風雪強い,./icons/406.svg,成功
407,暴風雪,,失敗
409,雪一時雨,,失敗
411,雪後晴,./icons/411.svg,成功
413,雪後曇,./icons/413.svg,成功
414,雪後雨,./icons/414.svg,成功
420,朝の内雪後晴,,失敗
421,朝の内雪後曇,,失敗
422,雪昼頃から雨,,失敗
423,雪夕方から雨,,失敗
425,雪一時強く降る,,失敗
426,雪後みぞれ,,失敗
427,雪一時みぞれ,,失敗
450,雪で雷を伴う,,失敗
